11	Proband 1	(16,5, -0,3, -11,2)	1,177
11	Proband 1	(16,5, -0,3, -11,2)	1,189
11	Proband 1	(16,5, -0,3, -11,2)	1,2
11	Proband 1	(16,5, -0,3, -11,2)	1,21
11	Proband 1	(16,5, -0,3, -11,3)	1,221
11	Proband 1	(16,5, -0,3, -11,3)	1,233
11	Proband 1	(16,5, -0,3, -11,3)	1,244
11	Proband 1	(16,5, -0,3, -11,3)	1,255
11	Proband 1	(16,5, -0,3, -11,3)	1,266
11	Proband 1	(16,5, -0,3, -11,3)	1,277
11	Proband 1	(16,5, -0,3, -11,3)	1,289
11	Proband 1	(16,5, -0,3, -11,3)	1,299
11	Proband 1	(16,5, -0,3, -11,3)	1,311
11	Proband 1	(16,5, -0,2, -11,3)	1,322
11	Proband 1	(16,5, -0,2, -11,3)	1,333
11	Proband 1	(16,5, -0,2, -11,3)	1,343
11	Proband 1	(16,5, -0,2, -11,2)	1,356
11	Proband 1	(16,5, -0,2, -11,2)	1,366
11	Proband 1	(16,5, -0,2, -11,2)	1,377
11	Proband 1	(16,5, 0,1, -11,3)	1,389
11	Proband 1	(16,5, -0,2, -11,3)	1,401
11	Proband 1	(16,5, -0,2, -11,3)	1,41
11	Proband 1	(16,5, -0,2, -11,3)	1,421
11	Proband 1	(16,5, -0,2, -11,3)	1,433
11	Proband 1	(16,5, -0,2, -11,3)	1,444
11	Proband 1	(16,5, -0,2, -11,3)	1,455
11	Proband 1	(16,5, -0,2, -11,3)	1,466
11	Proband 1	(16,5, -0,2, -11,3)	1,478
11	Proband 1	(16,4, -0,2, -11,4)	1,489
11	Proband 1	(16,4, -0,2, -11,4)	1,5
11	Proband 1	(16,4, -0,2, -11,4)	1,512
11	Proband 1	(16,4, -0,2, -11,4)	1,521
11	Proband 1	(16,4, -0,2, -11,4)	1,532
11	Proband 1	(16,4, -0,1, -11,4)	1,544
11	Proband 1	(16,4, -0,1, -11,4)	1,556
11	Proband 1	(16,4, -0,1, -11,4)	1,567
11	Proband 1	(16,4, -0,1, -11,5)	1,577
11	Proband 1	(16,3, -0,2, -11,5)	1,589
11	Proband 1	(16,3, -0,2, -11,6)	1,6
11	Proband 1	(16,3, -0,2, -11,6)	1,611
11	Proband 1	(16,2, -0,2, -11,7)	1,622
11	Proband 1	(16,2, -0,2, -11,7)	1,633
11	Proband 1	(16,2, -0,2, -11,7)	1,644
11	Proband 1	(16,2, -0,3, -11,8)	1,655
11	Proband 1	(16,1, -0,3, -11,8)	1,666
11	Proband 1	(16,1, -0,3, -11,9)	1,678
11	Proband 1	(16,1, -0,3, -11,9)	1,688
11	Proband 1	(16,0, -0,3, -11,9)	1,7
11	Proband 1	(16,0, -0,2, -12,0)	1,711
11	Proband 1	(16,0, -0,2, -12,0)	1,722
11	Proband 1	(16,0, -0,2, -12,0)	1,733
11	Proband 1	(16,0, -0,2, -12,0)	1,744
11	Proband 1	(16,0, -0,2, -12,1)	1,755
11	Proband 1	(15,9, -0,2, -12,1)	1,766
11	Proband 1	(15,9, -0,2, -12,1)	1,778
11	Proband 1	(15,9, -0,2, -12,1)	1,788
11	Proband 1	(15,9, -0,2, -12,1)	1,799
11	Proband 1	(15,9, -0,2, -12,1)	1,81
11	Proband 1	(15,9, -0,2, -12,2)	1,822
11	Proband 1	(15,9, -0,2, -12,2)	1,833
11	Proband 1	(15,9, -0,2, -12,2)	1,844
11	Proband 1	(15,9, -0,2, -12,2)	1,855
11	Proband 1	(15,8, -0,2, -12,2)	1,866
11	Proband 1	(15,8, -0,2, -12,2)	1,878
11	Proband 1	(15,8, -0,2, -12,2)	1,889
11	Proband 1	(15,8, -0,2, -12,2)	1,9
11	Proband 1	(15,8, -0,2, -12,2)	1,911
11	Proband 1	(15,8, -0,2, -12,2)	1,921
11	Proband 1	(15,8, -0,2, -12,2)	1,933
11	Proband 1	(15,8, -0,2, -12,2)	1,943
11	Proband 1	(15,8, -0,2, -12,2)	1,956
11	Proband 1	(15,8, -0,2, -12,2)	1,967
11	Proband 1	(15,8, -0,2, -12,2)	1,977
11	Proband 1	(15,8, -0,2, -12,2)	1,988
11	Proband 1	(15,8, -0,2, -12,2)	2
11	Proband 1	(15,8, -0,2, -12,2)	2,011
11	Proband 1	(15,8, -0,2, -12,2)	2,022
11	Proband 1	(15,8, -0,2, -12,2)	2,033
11	Proband 1	(15,8, -0,2, -12,2)	2,044
11	Proband 1	(15,8, -0,3, -12,3)	2,055
11	Proband 1	(15,8, -0,3, -12,3)	2,066
11	Proband 1	(15,8, -0,3, -12,3)	2,078
11	Proband 1	(15,8, -0,3, -12,3)	2,088
11	Proband 1	(15,8, -0,3, -12,3)	2,099
11	Proband 1	(15,7, -0,3, -12,3)	2,111
11	Proband 1	(15,7, -0,3, -12,3)	2,122
11	Proband 1	(15,7, -0,3, -12,3)	2,133
11	Proband 1	(15,7, -0,3, -12,4)	2,143
11	Proband 1	(15,7, -0,4, -12,4)	2,154
11	Proband 1	(15,7, -0,4, -12,4)	2,166
11	Proband 1	(15,7, -0,4, -12,4)	2,177
11	Proband 1	(15,7, -0,4, -12,4)	2,188
11	Proband 1	(15,7, -0,4, -12,4)	2,199
11	Proband 1	(15,7, -0,4, -12,4)	2,21
11	Proband 1	(15,7, -0,4, -12,4)	2,222
11	Proband 1	(15,7, -0,4, -12,4)	2,233
11	Proband 1	(15,7, -0,4, -12,4)	2,244
11	Proband 1	(15,6, -0,4, -12,5)	2,255
11	Proband 1	(15,6, -0,4, -12,5)	2,266
11	Proband 1	(15,6, -0,4, -12,5)	2,277
11	Proband 1	(15,6, -0,4, -12,5)	2,288
11	Proband 1	(15,6, -0,4, -12,6)	2,3
11	Proband 1	(15,5, -0,4, -12,6)	2,311
11	Proband 1	(15,5, -0,4, -12,6)	2,322
11	Proband 1	(15,5, -0,4, -12,6)	2,333
11	Proband 1	(15,5, -0,4, -12,6)	2,344
11	Proband 1	(15,5, -0,4, -12,7)	2,356
11	Proband 1	(15,5, -0,4, -12,7)	2,366
11	Proband 1	(15,5, -0,4, -12,7)	2,377
11	Proband 1	(15,4, -0,4, -12,7)	2,388
11	Proband 1	(15,4, -0,4, -12,7)	2,4
11	Proband 1	(15,4, -0,4, -12,7)	2,41
11	Proband 1	(15,4, -0,4, -12,7)	2,421
11	Proband 1	(15,4, -0,4, -12,7)	2,433
11	Proband 1	(15,4, -0,4, -12,7)	2,443
11	Proband 1	(15,4, -0,4, -12,7)	2,455
11	Proband 1	(15,4, -0,4, -12,7)	2,466
11	Proband 1	(15,4, -0,4, -12,7)	2,477
11	Proband 1	(15,4, -0,4, -12,7)	2,488
11	Proband 1	(15,4, -0,4, -12,7)	2,5
11	Proband 1	(15,4, -0,4, -12,7)	2,51
11	Proband 1	(15,4, -0,4, -12,7)	2,522
11	Proband 1	(15,4, -0,4, -12,8)	2,532
11	Proband 1	(15,4, -0,4, -12,8)	2,543
11	Proband 1	(15,4, -0,4, -12,8)	2,555
11	Proband 1	(15,4, -0,4, -12,8)	2,566
11	Proband 1	(15,4, -0,4, -12,8)	2,577
11	Proband 1	(15,4, -0,4, -12,8)	2,588
